Trans Date,Post Date,Description,Category,Amount
Oct 18,Oct 19,GEORGE BROWN COLLEGE EDUCTORONTO ON,Health And Education,10.0
Oct 19,Oct 20,PRESTO AUTL TORONTO ON,Transportation,20.0
Oct 22,Oct 23,PRESTO AUTL TORONTO ON,Transportation,20.0
Oct 25,Oct 30,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,9.86
Oct 29,Oct 30,WINNERS 496 MISSISSAUGA ON,Retail And Grocery,33.89
Oct 30,Nov 02,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,15.63
Oct 31,Nov 01,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 01,Nov 02,NOBLE FRESH FOODS BRAMPTON ON,Retail And Grocery,7.57
Nov 01,Nov 02,BELL MOBILITY VERDUN QC,Personal And Household Expenses,50.85
Nov 01,Nov 03,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,25.89
Nov 03,Nov 06,MLF CHICKEN SHOPPE BRAMPTON ON,Retail And Grocery,14.24
Nov 09,Nov 10,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 10,Nov 14,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 13,Nov 15,PICOCOOLER MISSISSAUGA ON,Restaurants,2.69
Nov 14,Nov 15,DOLLARAMA # 615 MISSISSAUGA ON,Retail And Grocery,5.65
Nov 14,Nov 15,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 14,Nov 16,LCBO/RAO #601 BRAMPTON ON,Retail And Grocery,17.95
Sep 21,Sep 25,SMART SERVE ONTARIO MISSISAUGA ON,Health And Education,44.95
Sep 24,Sep 27,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,55.6
Sep 25,Sep 26,PRESTO MOBL TORONTO ON,Transportation,20.0
Sep 26,Sep 27,PRESTO AUTL TORONTO ON,Transportation,20.0
Sep 28,Sep 29,PRESTO AUTL TORONTO ON,Transportation,20.0
Oct 01,Oct 03,PRESTO AUTL TORONTO ON,Transportation,20.0
Oct 02,Oct 06,FRESHCO #3857 BRAMPTON ON,Retail And Grocery,36.26
Oct 05,Oct 06,BELL MOBILITY VERDUN QC,Personal And Household Expenses,52.55
Oct 05,Oct 06,PRESTO AUTL TORONTO ON,Transportation,20.0
Oct 10,Oct 11,STAPLES STORE #217 BRAMPTON ON,Retail And Grocery,4.43
Oct 11,Oct 13,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,33.53
Oct 14,Oct 17,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,29.61
Oct 17,Oct 18,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 16,Nov 20,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,6.68
Nov 17,Nov 20,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 20,Nov 24,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,18.45
Nov 23,Nov 24,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 25,Nov 27,PRESTO AUTL TORONTO ON,Transportation,20.0
Nov 28,Dec 01,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,23.6
Nov 30,Dec 01,PRESTO AUTL TORONTO ON,Transportation,20.0
Dec 02,Dec 04,DOLLARAMA # 615 MISSISSAUGA ON,Retail And Grocery,4.52
Dec 04,Dec 05,BELL MOBILITY VERDUN QC,Personal And Household Expenses,50.85
Dec 04,Dec 05,PIONEER STN #187 BRAMPTON ON,Transportation,3.38
Dec 05,Dec 06,PRESTO AUTL TORONTO ON,Transportation,20.0
Dec 06,Dec 11,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,21.35
Dec 09,Dec 11,PRESTO AUTL TORONTO ON,Transportation,20.0
Dec 10,Dec 11,TIM HORTONS #1825 BRAMPTON ON,Restaurants,1.67
Dec 10,Dec 13,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,31.95
Dec 12,Dec 13,PRESTO AUTL TORONTO ON,Transportation,20.0
Dec 12,Dec 15,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,9.02
Dec 12,Dec 15,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,7.88
Dec 16,Dec 18,MLF CHICKEN SHOPPE BRAMPTON ON,Retail And Grocery,38.22
Dec 16,Dec 18,FOOD BASICS 895 BRAMPTON ON,Retail And Grocery,32.19
Dec 18,Dec 19,PRESTO AUTL TORONTO ON,Transportation,20.0
Dec 19,Dec 19,CASHBACK/REMISE EN ARGENT,Other Transactions,-38.74
Dec 19,Dec 20,SPOTIFY STOCKHOLM,Entertainment And Recreation,6.77
Dec 24,Dec 27,PRESTO AUTL TORONTO ON,Transportation,20.0
Dec 29,Jan 02,TIM HORTONS #2402 BRAMPTON ON,Restaurants,3.84
Dec 29,Jan 02,TIM HORTONS #2402 BRAMPTON ON,Restaurants,5.63
Dec 29,Jan 02,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,119.68
Dec 31,Jan 02,PRESTO AUTL TORONTO ON,Transportation,20.0
Jan 04,Jan 05,BELL MOBILITY VERDUN QC,Personal And Household Expenses,50.85
Jan 06,Jan 09,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,60.95
Jan 08,Jan 09,PRESTO AUTL TORONTO ON,Transportation,20.0
Jan 08,Jan 11,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,24.83
Jan 13,Jan 15,PRESTO AUTL TORONTO ON,Transportation,20.0
Jan 16,Jan 19,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,23.82
Jan 18,Jan 19,PRESTO AUTL TORONTO ON,Transportation,20.0
Jan 19,Jan 22,Spotify P28D56AE5D Stockholm,Entertainment And Recreation,6.77
Jan 20,Jan 22,MLF CHICKEN SHOPPE BRAMPTON ON,Retail And Grocery,14.34
Jan 21,Jan 24,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,14.26
Jan 23,Jan 24,PRESTO AUTL TORONTO ON,Transportation,20.0
Jan 28,Jan 31,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,21.44
Jan 29,Jan 30,PRESTO AUTL TORONTO ON,Transportation,20.0
Jan 29,Feb 01,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,22.02
Feb 01,Feb 02,PIONEER STN #187 BRAMPTON ON,Transportation,2.47
Feb 01,Feb 05,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,6.97
Feb 02,Feb 05,BELL MOBILITY VERDUN QC,Personal And Household Expenses,50.85
Feb 02,Feb 05,PRESTO AUTL TORONTO ON,Transportation,20.0
Feb 07,Feb 12,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,25.8
Feb 10,Feb 12,TIM HORTONS #2289 BRAMPTON ON,Restaurants,9.84
Feb 11,Feb 14,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,3.97
Feb 12,Feb 13,PRESTO AUTL TORONTO ON,Transportation,20.0
Feb 18,Feb 20,NOBLE FRESH FOODS BRAMPTON ON,Retail And Grocery,5.64
Feb 19,Feb 20,Spotify P29F724902 Stockholm,Entertainment And Recreation,6.77
Feb 19,Feb 20,PRESTO AUTL TORONTO ON,Transportation,20.0
Feb 20,Feb 23,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,3.51
Feb 25,Feb 28,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,40.15
Feb 28,Feb 29,PRESTO AUTL TORONTO ON,Transportation,20.0
Feb 28,Feb 29,CONTENT PI INTERNATIONAL Kathmandu,Foreign Currency Transactions,13.29
Feb 28,Mar 04,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,1.59
Mar 04,Mar 05,THE GEORGE BROWN COLLEGE TORONTO ON,Health And Education,73.0
Mar 05,Mar 06,BELL MOBILITY VERDUN QC,Personal And Household Expenses,57.63
Mar 09,Mar 11,PRESTO AUTL TORONTO ON,Transportation,20.0
Mar 10,Mar 13,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,6.42
Mar 13,Mar 18,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,17.99
Mar 15,Mar 18,PRESTO AUTL TORONTO ON,Transportation,20.0
Mar 15,Mar 18,MCDONALD'S #29186 Q04 MISSISSAUGA ON,Restaurants,1.92
Mar 19,Mar 20,Spotify P2ABA18DD0 Stockholm,Entertainment And Recreation,6.77
Mar 19,Mar 22,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,19.66
Mar 20,Mar 21,PLACEIT EMPOWERKIT 4159371163 CA,Foreign Currency Transactions,17.73
Mar 20,Mar 21,PRESTO AUTL TORONTO ON,Transportation,20.0
Mar 24,Mar 26,TIM HORTONS #0385 BRAMPTON ON,Restaurants,1.67
Mar 24,Mar 26,ALGOMA UNIVERSITY/APPL SAULT STE. MAON,Health And Education,125.0
Mar 25,Mar 28,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,24.71
Mar 28,Apr 01,LCBO/RAO #0171 BRAMPTON ON,Retail And Grocery,2.95
Mar 30,Apr 01,ECWID E-COM 7602301069 CA,Foreign Currency Transactions,29.85
Apr 01,Apr 03,MTO DRIVETEST D31 BRAMPTON ON,Personal And Household Expenses,106.0
Apr 01,Apr 04,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,11.04
Apr 02,Apr 03,PRESTO AUTL TORONTO ON,Transportation,20.0
Apr 04,Apr 05,BELL MOBILITY VERDUN QC,Personal And Household Expenses,48.57
Apr 04,Apr 08,TIM HORTONS #0385 BRAMPTON ON,Restaurants,1.92
Apr 05,Apr 08,PRESTO AUTL TORONTO ON,Transportation,20.0
Apr 05,Apr 08,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,22.54
Apr 07,Apr 10,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,3.99
Apr 08,Apr 11,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,12.94
Apr 12,Apr 15,MLF CHICKEN SHOPPE BRAMPTON ON,Retail And Grocery,30.48
Apr 12,Apr 15,GOLDEN TREE CANNABIS BRAMPTON ON,Health And Education,7.85
Apr 12,Apr 15,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,9.99
Apr 17,Apr 18,PRESTO AUTL TORONTO ON,Transportation,20.0
Apr 17,Apr 22,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,5.95
Apr 19,Apr 22,CANVA* I04126-41421420 HTTPSCANVA.CODE,Retail And Grocery,18.99
Apr 19,Apr 22,Spotify P2B880635A Stockholm,Entertainment And Recreation,6.77
Apr 20,Apr 22,PLACEIT EMPOWERKIT 4159371163 CA,Foreign Currency Transactions,21.16
Apr 22,Apr 23,PRESTO AUTL TORONTO ON,Transportation,20.0
Apr 24,Apr 29,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,12.7
Apr 25,Apr 26,PRESTO AUTL TORONTO ON,Transportation,20.0
Apr 30,May 01,ECWID E-COM 7602301069 CA,Foreign Currency Transactions,39.92
Apr 30,May 03,WAL-MART SUPERCENTER#3130BRAMPTON ON,Retail And Grocery,10.25
May 01,May 02,PRESTO AUTL TORONTO ON,Transportation,20.0
